Run	Film	Type	CanBeEmpty	Start	End
1	1	THE	false	00:01:04,77	00:01:50,90
2	1	THE	false	00:09:08,34	00:09:37,12
3	1	THE	false	00:12:34,13	00:49:41,64
4	1	THE	false	00:50:27,73	00:50:43,87
5	1	THE	false	00:55:29,95	01:03:17,71
6	1	THE	true	01:03:26,09	01:03:27,68
7	1	THE	true	01:03:47,32	01:03:48,78
8	1	THE	false	01:04:14,39	01:08:21,39
9	1	THE	false	01:08:41,70	01:11:47,80
10	1	THE	false	01:23:01,69	01:26:06,95
11	1	THE	false	01:26:31,14	01:28:40,27
12	1	THE	false	01:28:44,57	01:28:49,16
14	1	THE	false	01:28:50,33	01:31:58,97
15	1	THE	true	01:33:43,53	01:33:45,54
16	1	THE	false	01:33:49,71	01:34:07,94
17	1	EXT	false	01:40:18,76	01:41:17,31
18	1	THE	false	01:40:34,74	01:40:53,96
19	1	THE	false	01:44:24,47	01:45:27,57
20	1	THE	false	01:46:02,23	01:46:05,23
21	1	THE	false	01:46:17,20	01:46:18,62
22	1	THE	false	01:47:20,48	01:48:52,27
23	1	THE	true	01:49:13,17	01:49:15,17
24	1	THE	false	01:50:06,64	01:55:28,67
25	1	THE	false	02:10:29,07	02:11:03,19
26	1	THE	false	02:11:35,10	02:12:04,79
27	1	THE	false	02:12:18,22	02:12:25,23
28	1	THE	true	01:58:04,37	01:58:06,11
29	1	THE	false	01:58:45,58	02:10:23,40
30	1	THE	false	02:12:33,53	02:13:58,20
31	1	THE	false	02:15:19,44	02:15:33,46
32	1	THE	false	02:15:53,98	02:16:19,80
33	1	THE	false	02:18:01,23	02:22:36,59
34	1	THE	false	02:23:12,63	02:23:35,48
35	1	THE	false	02:24:02,01	02:24:08,39
36	1	THE	false	02:24:18,11	02:24:19,55
37	1	THE	true	02:24:56,44	02:24:57,48
38	1	THE	false	02:24:57,65	02:25:12,79
39	1	THE	false	02:26:43,63	02:26:47,05
40	1	THE	false	02:27:35,30	02:27:50,69
41	1	THE	false	02:28:01,16	02:28:34,03
42	1	THE	false	02:29:45,06	02:29:46,56
43	1	THE	true	02:32:13,79	02:32:19,17
44	1	THE	false	02:37:19,72	02:37:45,99
45	2	THE	false	00:07:24,65	00:07:31,99
46	2	THE	false	00:09:19,77	00:09:21,94
47	2	THE	true	00:11:27,35	00:11:58,19
48	2	EXT	true	00:15:46,92	00:16:05,65
49	2	EXT	false	00:16:15,84	00:16:23,92
50	2	EXT	false	00:16:43,12	00:21:03,77
51	2	THE	false	00:15:30,31	00:15:34,94
52	2	THE	false	00:15:38,44	00:17:20,58
53	2	THE	false	00:17:47,48	00:18:50,01
54	2	THE	false	00:19:38,26	00:29:53,67
55	2	THE	false	00:30:15,27	00:30:44,26
56	2	THE	true	00:31:10,41	00:31:12,33
57	2	THE	false	00:31:20,05	00:32:24,03
58	2	THE	false	00:33:03,44	00:35:25,08
59	2	THE	false	00:36:12,34	00:39:33,29
60	2	THE	false	00:44:28,33	00:46:02,01
61	2	THE	true	00:46:17,03	00:46:18,28
62	2	THE	false	00:46:18,90	00:48:32,87
63	2	THE	false	00:58:56,70	00:59:10,17
64	2	THE	false	01:00:07,27	01:02:01,34
65	2	THE	false	01:06:27,90	01:09:39,68
66	2	THE	false	01:11:01,84	01:11:02,97
67	2	THE	true	01:13:12,89	01:13:14,22
68	2	THE	false	01:13:17,94	01:13:35,79
69	2	THE	false	01:14:28,13	01:17:01,03
70	2	THE	false	01:22:13,56	01:27:00,47
71	2	THE	false	01:30:13,37	01:30:39,77
72	2	THE	false	01:33:33,07	01:41:44,81
73	2	THE	false	01:42:25,56	01:43:48,18
74	2	EXT	false	02:13:03,56	02:21:45,25
75	2	THE	false	01:57:29,42	01:58:03,28
76	2	THE	false	02:02:17,08	02:03:09,93
77	2	THE	false	02:03:27,40	02:03:49,59
78	2	THE	false	01:59:45,47	02:00:24,01
79	2	THE	false	02:26:20,69	02:27:10,87
80	2	THE	false	01:56:35,20	01:56:45,88
81	2	THE	false	01:56:51,76	01:56:54,47
82	2	THE	false	01:57:08,19	01:57:27,96
83	2	THE	false	02:30:23,64	02:30:45,54
84	3	THE	true	00:01:05,04	00:01:11,63
85	3	THE	false	00:01:39,33	00:01:46,75
86	3	THE	false	00:03:23,51	00:03:30,44
87	3	THE	false	00:05:28,51	00:06:03,09
88	3	THE	false	00:08:46,13	00:09:11,49
89	3	THE	false	00:10:08,71	00:10:17,72
90	3	THE	true	00:10:58,01	00:11:03,01
91	3	THE	false	00:11:32,34	00:12:12,09
92	3	THE	true	00:12:58,80	00:12:58,80
93	3	THE	false	00:13:04,47	00:13:10,56
94	3	THE	false	00:16:16,74	00:16:43,48
95	3	THE	false	00:18:11,86	00:18:31,84
96	3	THE	false	00:21:46,49	00:22:02,67
97	3	THE	false	00:34:32,46	00:39:00,27
98	3	THE	false	00:39:51,57	00:40:42,96
99	3	THE	false	00:25:17,64	00:25:39,64
100	3	THE	false	00:41:03,31	00:46:29,64
101	3	THE	false	00:46:33,31	00:52:26,08
102	3	THE	false	00:53:57,42	00:53:59,88
103	3	THE	false	00:54:01,26	00:54:07,89
104	3	THE	false	00:54:44,26	00:55:30,39
105	3	THE	false	00:55:40,27	00:56:34,87
106	3	THE	true	00:57:24,04	00:57:24,04
107	3	THE	false	00:58:08,55	01:01:30,25
108	3	THE	false	01:02:55,50	01:07:16,55
109	3	EXT	false	01:12:34,89	01:15:40,24
110	3	EXT	true	01:15:47,21	01:16:05,64
111	3	EXT	false	01:16:09,65	01:17:52,12
112	3	EXT	false	01:18:02,09	01:18:28,51
113	3	THE	false	01:11:05,70	01:12:12,56
114	3	THE	true	01:12:15,77	01:12:27,90
115	3	THE	false	01:12:30,36	01:12:48,38
116	3	THE	false	01:13:04,77	01:14:12,29
117	3	THE	false	01:14:39,54	01:15:20,20
118	3	THE	false	01:18:51,36	01:18:58,53
119	3	THE	false	01:19:36,96	01:23:29,73
120	3	THE	false	01:24:28,12	01:26:46,89
121	3	THE	false	01:26:53,84	01:28:15,06
122	3	THE	false	01:29:21,04	01:29:41,10
123	3	THE	false	01:29:44,11	01:29:53,62
124	3	EXT	false	01:40:23,10	01:41:31,67
125	3	EXT	false	01:42:01,66	01:42:03,49
126	3	EXT	false	01:42:58,46	01:43:18,32
127	3	EXT	false	01:42:09,96	01:42:11,81
128	3	EXT	false	01:43:33,71	01:44:13,66
129	3	EXT	false	01:44:42,40	01:44:51,49
130	3	THE	false	01:30:13,80	01:30:22,23
131	3	THE	false	01:30:30,19	01:31:58,03
132	3	THE	false	01:33:22,70	01:34:07,99
133	3	THE	false	01:37:13,93	01:37:21,02
134	3	THE	false	01:37:23,15	01:37:27,56
135	3	THE	false	01:37:55,39	01:38:03,73
136	3	THE	false	01:40:18,28	01:40:42,68
137	3	THE	false	01:54:28,09	01:57:28,98
138	3	THE	true	02:02:25,69	02:02:27,40
139	3	EXT	false	02:22:13,44	02:22:21,53
140	3	THE	false	02:03:06,23	02:11:26,15
