Id	Diff
001	00:00:00,253
002	-00:07:14,050
003	-00:10:10,587
004	-00:10:30,582
005	-00:15:03,540
006	-00:15:09,765
007	-00:15:25,492
008	-00:15:49,732
009	-00:16:06,437
010	-00:26:28,595
011	-00:26:43,922
012	-00:26:47,270
013	00:00:00,000
014	-00:25:57,365
015	-00:27:41,341
016	-00:27:41,341
017	-00:33:29,500
018	-00:32:40,118
019	-00:34:40,021
020	-00:35:07,293
021	-00:35:14,608
022	-00:35:54,139
023	-00:36:15,252
024	-00:36:15,252
025	-00:51:14,508
026	-00:51:16,654
027	-00:51:21,675
028	-00:36:31,283
029	-00:37:10,750
030	-00:39:08,872
031	-00:39:57,632
032	-00:40:09,026
033	-00:41:42,070
034	-00:41:57,205
035	-00:42:13,248
036	-00:42:19,693
037	-00:42:24,766
038	-00:42:24,766
039	-00:43:25,104
040	-00:43:31,052
041	-00:43:38,082
042	-00:44:45,833
043	-00:44:53,278
044	-00:49:59,208
045	01:40:23,540
046	01:38:38,275
047	01:34:54,821
048	01:33:03,840
049	01:33:03,001
050	01:32:47,825
051	01:38:22,941
052	01:38:21,309
053	01:38:17,998
054	01:37:54,687
055	01:37:41,424
056	01:37:27,947
057	01:37:27,947
058	01:36:48,885
059	01:36:11,662
060	01:31:20,591
061	01:31:08,930
062	01:31:08,930
063	01:21:09,117
064	01:20:33,061
065	01:16:25,512
066	01:15:03,774
067	01:12:58,339
068	01:12:58,339
069	01:12:07,660
070	01:07:01,562
071	01:04:42,854
072	01:01:58,952
073	01:01:19,454
074	00:32:36,869
075	00:56:54,455
076	00:52:43,098
077	00:52:28,943
078	00:56:50,284
079	00:31:18,774
080	01:02:06,286
081	01:02:03,405
082	01:01:50,072
083	00:29:09,964
084	02:58:50,552
085	02:58:30,142
086	02:57:11,374
087	02:56:17,939
088	02:54:51,915
089	02:54:12,763
090	02:53:50,229
091	02:53:54,226
092	02:53:14,515
093	02:53:14,515
094	02:50:17,533
095	02:48:50,510
096	02:45:37,603
097	02:33:50,320
098	02:33:03,066
099	02:49:04,358
100	02:33:50,197
101	02:33:48,069
102	02:32:32,220
103	02:32:31,027
104	02:32:04,489
105	02:31:55,096
106	02:31:09,295
107	02:31:00,456
108	02:30:29,372
109	02:30:28,569
110	02:25:16,538
111	02:25:16,538
112	02:25:15,172
113	02:32:40,476
114	02:32:37,265
115	02:32:36,940
116	02:32:32,012
117	02:32:17,836
118	02:29:14,040
119	02:28:45,276
120	02:28:01,838
121	02:27:57,740
122	02:26:57,859
123	02:26:56,349
124	02:16:30,589
125	02:16:08,786
126	02:15:21,871
127	02:16:30,240
128	02:15:26,591
129	02:15:24,634
130	02:30:16,314
131	02:30:11,786
132	02:29:08,494
133	02:26:39,374
134	02:26:37,153
135	02:26:09,331
136	02:24:19,317
137	02:10:59,700
138	02:07:40,694
139	01:49:50,743
140	02:09:12,101
