Id	Diff
001	00:00:00,060
002	00:00:00,020
003	00:00:00,000
004	00:00:00,000
005	00:00:00,050
006	00:00:00,000
007	00:00:00,000
008	00:00:00,000
009	00:00:00,020
010	-00:00:00,090
011	-00:00:00,040
012	00:00:00,030
013	00:00:00,000
014	-00:00:00,040
015	-00:00:00,100
016	00:00:00,000
017	-00:00:00,130
018	00:00:00,000
019	00:00:00,000
020	-00:00:00,020
021	-00:00:00,150
022	-00:00:00,110
023	00:00:00,020
024	-00:00:00,110
025	-00:00:00,040
026	00:00:00,020
027	00:00:00,010
028	00:00:02,900
029	00:00:02,840
030	00:00:02,700
031	00:00:02,810
032	00:00:02,750
033	00:00:02,650
034	00:00:02,770
035	00:00:02,820
036	00:00:02,800
037	00:00:02,800
038	00:00:02,810
039	00:00:02,810
040	00:00:02,730
041	00:00:02,550
042	00:00:02,800
043	00:00:02,610
044	00:00:02,740
045	00:00:02,680
046	00:00:02,770
047	00:00:02,670
048	00:00:02,770
049	00:00:02,760
050	-00:00:00,500
051	-00:00:00,870
052	-00:00:00,600
053	-00:00:00,760
054	-00:00:00,520
055	-00:00:00,820
056	-00:00:00,830
057	-00:00:00,570
058	-00:00:00,570
059	-00:00:00,670
060	-00:00:00,710
061	-00:00:00,570
062	-00:00:00,670
063	-00:00:00,840
064	-00:00:00,570
065	-00:00:00,570
066	-00:00:00,630
067	-00:00:00,570
068	-00:00:00,820
069	-00:00:42,580
070	-00:00:42,560
071	-00:00:42,810
072	-00:00:42,790
073	-00:00:42,560
074	-00:00:42,390
075	-00:00:42,570
076	-00:00:42,530
077	-00:00:42,790
078	-00:00:42,450
079	-00:00:49,880
080	-00:00:50,180
081	-00:00:50,060
082	-00:00:49,980
083	-00:00:50,100
084	-00:00:49,850
085	-00:00:49,940
086	-00:00:50,070
087	-00:00:50,120
088	-00:00:49,810
089	-00:00:50,100
090	-00:00:49,860
091	-00:00:49,950
092	-00:00:50,050
093	-00:00:50,060
094	-00:00:50,100
095	-00:00:50,110
096	-00:00:49,980
097	-00:00:49,810
098	-00:00:49,870
099	-00:00:50,110
100	-00:00:49,800
101	-00:00:49,860
102	-00:00:49,880
103	-00:00:49,860
104	-00:00:49,870
105	-00:00:50,090
106	-00:00:49,860
107	-00:00:49,860
108	-00:00:49,890
109	-00:00:49,810
110	-00:00:49,850
111	-00:00:49,860
112	-00:00:49,800
113	-00:00:49,800
114	-00:00:50,140
115	-00:00:49,810
116	-00:00:49,840
117	-00:00:49,840
118	-00:00:49,810
119	-00:00:49,940
120	-00:00:49,910
121	-00:00:49,910
122	-00:00:50,140
123	-00:00:49,600
124	-00:00:49,760
125	-00:00:50,110
126	-00:00:49,680
127	-00:00:49,980
128	-00:00:49,720
129	-00:00:49,580
130	-00:00:50,110
131	-00:00:49,870
132	-00:00:49,860
133	-00:00:50,180
134	-00:00:50,470
135	-00:00:49,990
136	-00:00:49,880
137	-00:00:49,770
138	-00:00:50,070
139	-00:00:49,670
140	-00:00:49,890
