Id	Diff
001	00:00:00,116
002	-00:07:14,339
003	-00:10:10,801
004	-00:10:30,620
005	-00:15:03,775
006	-00:15:09,765
007	-00:15:25,492
008	-00:15:50,074
009	-00:16:06,292
010	-00:26:28,854
011	-00:26:44,160
012	-00:26:47,247
013	00:00:00,000
014	-00:25:57,764
015	-00:27:41,457
016	-00:27:41,757
017	-00:33:30,026
018	-00:32:40,250
019	-00:34:40,269
020	-00:35:07,294
021	-00:35:14,703
022	-00:35:54,396
023	-00:36:14,937
024	-00:36:15,213
025	-00:51:14,436
026	-00:51:16,345
027	-00:51:21,875
028	-00:36:28,387
029	-00:37:08,016
030	-00:39:06,413
031	-00:39:54,704
032	-00:40:06,184
033	-00:41:39,629
034	-00:41:54,747
035	-00:42:10,963
036	-00:42:16,982
037	-00:42:21,683
038	-00:42:21,677
039	-00:43:21,315
040	-00:43:28,325
041	-00:43:35,131
042	-00:44:42,941
043	-00:47:01,776
044	-00:49:56,318
045	01:40:26,225
046	01:38:41,247
047	01:36:47,314
048	01:33:06,615
049	01:33:06,159
050	01:32:47,490
051	01:38:21,996
052	01:38:20,404
053	01:38:17,143
054	01:37:53,836
055	01:37:40,821
056	01:37:27,038
057	01:37:27,071
058	01:36:48,106
059	01:36:10,943
060	01:31:19,734
061	01:31:08,190
062	01:31:07,895
063	01:21:08,479
064	01:20:32,288
065	01:16:24,940
066	01:15:03,039
067	01:12:58,056
068	01:12:57,817
069	01:11:24,843
070	01:06:18,810
071	01:04:00,298
072	01:01:15,927
073	01:00:36,754
074	00:31:54,449
075	00:56:11,597
076	00:52:00,493
077	00:51:46,042
078	00:56:07,766
079	00:30:28,929
080	01:01:16,384
081	01:01:13,302
082	01:00:59,925
083	00:28:20,021
084	02:58:00,701
085	02:57:35,595
086	02:56:21,301
087	02:55:28,257
088	02:54:02,091
089	02:53:22,508
090	02:53:00,365
091	02:53:04,452
092	02:52:24,462
093	02:52:24,453
094	02:49:27,616
095	02:48:00,189
096	02:44:47,556
097	02:33:00,222
098	02:32:12,814
099	02:48:14,154
100	02:33:00,100
101	02:32:57,810
102	02:31:42,035
103	02:31:40,914
104	02:31:14,423
105	02:31:04,908
106	02:30:19,433
107	02:30:10,331
108	02:29:39,228
109	02:24:29,008
110	02:24:26,682
111	02:24:26,678
112	02:24:24,782
113	02:31:50,171
114	02:31:47,118
115	02:31:47,128
116	02:31:41,819
117	02:31:27,599
118	02:28:24,223
119	02:27:55,134
120	02:27:11,637
121	02:27:07,725
122	02:26:07,713
123	02:26:06,748
124	02:15:40,426
125	02:15:19,146
126	02:14:32,293
127	02:15:40,465
128	02:14:36,723
129	02:14:35,050
130	02:29:26,101
131	02:29:22,066
132	02:28:18,580
133	02:25:49,192
134	02:25:46,682
135	02:25:19,338
136	02:23:05,985
137	02:10:09,826
138	02:06:50,559
139	01:49:00,661
140	02:08:22,092
