Id	Diff
001	00:00:00,000
002	00:00:00,000
003	00:00:00,000
004	00:00:00,000
005	00:00:00,000
006	00:00:00,000
007	00:00:00,000
008	00:00:00,000
009	00:00:00,000
010	00:00:00,000
011	00:00:00,000
012	00:00:00,000
013	00:00:00,000
014	00:00:00,000
015	00:00:00,000
016	00:00:00,000
017	00:00:00,000
018	00:00:00,000
019	00:00:00,000
020	00:00:00,000
021	00:00:00,000
022	00:00:00,000
023	00:00:00,000
024	00:00:00,000
025	00:00:00,000
026	00:00:00,000
027	00:00:00,000
028	00:00:00,000
029	00:00:00,000
030	00:00:00,000
031	00:00:00,000
032	00:00:00,000
033	00:00:00,000
034	00:00:00,000
035	00:00:00,000
036	00:00:00,000
037	00:00:00,000
038	00:00:00,360
039	00:00:00,000
040	00:00:00,000
041	00:00:00,000
042	00:00:00,000
043	00:00:00,000
044	00:00:00,200
045	00:00:00,000
046	00:00:00,000
047	00:00:00,000
048	00:00:00,000
049	00:00:00,000
050	00:00:00,000
051	00:00:00,000
052	00:00:00,000
053	00:00:00,000
054	00:00:00,000
055	00:00:00,000
056	00:00:00,000
057	00:00:00,000
058	00:00:00,000
059	00:00:00,000
060	00:00:00,000
061	00:00:00,000
062	00:00:00,000
063	00:00:00,000
064	00:00:00,000
065	00:00:00,000
066	00:00:00,000
067	00:00:00,000
068	00:00:00,000
069	00:00:00,000
070	00:00:00,000
071	00:00:00,000
072	00:00:00,000
073	00:00:00,000
074	00:00:00,000
075	00:00:00,000
076	00:00:00,000
077	00:00:00,000
078	00:00:00,000
079	00:00:00,000
080	00:00:00,000
081	00:00:00,000
082	00:00:00,000
083	00:00:00,000
084	
085	00:00:00,100
086	00:00:00,100
087	00:00:00,100
088	00:00:00,100
089	00:00:00,100
090	
091	00:00:00,100
092	
093	00:00:00,100
094	00:00:00,100
095	00:00:00,100
096	00:00:00,100
097	00:00:00,100
098	00:00:00,105
099	00:00:00,000
100	00:00:00,100
101	00:00:00,100
102	-00:00:00,850
103	00:00:00,000
104	00:00:00,100
105	00:00:00,100
106	
107	00:00:00,100
108	00:00:00,000
109	00:00:00,000
110	00:00:00,000
111	00:00:00,000
112	00:00:00,000
113	00:00:00,000
114	00:00:00,000
115	00:00:00,000
116	00:00:00,000
117	00:00:00,000
118	00:00:00,000
119	00:00:00,000
120	00:00:00,000
121	00:00:00,000
122	00:00:00,000
123	00:00:00,000
124	00:00:00,000
125	00:00:00,000
126	00:00:00,000
127	00:00:00,000
128	00:00:00,000
129	00:00:00,000
130	00:00:00,000
131	00:00:00,000
132	00:00:00,000
133	00:00:00,000
134	00:00:00,000
135	00:00:00,000
136	00:00:00,000
137	00:00:00,000
138	00:00:00,000
139	00:00:00,000
140	00:00:00,000
